NAMESPACE     NAME                                                 TYPE           CLUSTER-IP      EXTERNAL-IP                  PORT(S)                        AGE   SELECTOR
default       kubernetes                                           ClusterIP      10.43.0.1       <none>                       443/TCP                        18d   <none>
kube-system   kube-dns                                             ClusterIP      10.43.0.10      <none>                       53/UDP,53/TCP,9153/TCP         18d   k8s-app=kube-dns
kube-system   metrics-server                                       ClusterIP      10.43.151.129   <none>                       443/TCP                        18d   k8s-app=metrics-server
monitoring    prometheus-stack-kube-prom-prometheus                ClusterIP      10.43.104.92    <none>                       9090/TCP,8080/TCP              17d   app.kubernetes.io/name=prometheus,operator.prometheus.io/name=prometheus-stack-kube-prom-prometheus
kube-system   prometheus-stack-kube-prom-coredns                   ClusterIP      None            <none>                       9153/TCP                       17d   k8s-app=kube-dns
kube-system   prometheus-stack-kube-prom-kube-controller-manager   ClusterIP      None            <none>                       10257/TCP                      17d   component=kube-controller-manager
kube-system   prometheus-stack-kube-prom-kube-proxy                ClusterIP      None            <none>                       10249/TCP                      17d   k8s-app=kube-proxy
kube-system   prometheus-stack-kube-prom-kube-etcd                 ClusterIP      None            <none>                       2381/TCP                       17d   component=etcd
monitoring    prometheus-stack-kube-prom-alertmanager              ClusterIP      10.43.242.145   <none>                       9093/TCP,8080/TCP              17d   alertmanager=prometheus-stack-kube-prom-alertmanager,app.kubernetes.io/name=alertmanager
kube-system   prometheus-stack-kube-prom-kube-scheduler            ClusterIP      None            <none>                       10259/TCP                      17d   component=kube-scheduler
monitoring    prometheus-stack-prometheus-node-exporter            ClusterIP      10.43.136.205   <none>                       9100/TCP                       17d   app.kubernetes.io/instance=prometheus-stack,app.kubernetes.io/name=prometheus-node-exporter
monitoring    prometheus-stack-kube-prom-operator                  ClusterIP      10.43.206.33    <none>                       443/TCP                        17d   app=kube-prometheus-stack-operator,release=prometheus-stack
monitoring    prometheus-stack-kube-state-metrics                  ClusterIP      10.43.136.41    <none>                       8080/TCP                       17d   app.kubernetes.io/instance=prometheus-stack,app.kubernetes.io/name=kube-state-metrics
kube-system   prometheus-stack-kube-prom-kubelet                   ClusterIP      None            <none>                       10250/TCP,4194/TCP,10255/TCP   17d   <none>
monitoring    alertmanager-operated                                ClusterIP      None            <none>                       9093/TCP,9094/TCP,9094/UDP     17d   app.kubernetes.io/name=alertmanager
monitoring    prometheus-operated                                  ClusterIP      None            <none>                       9090/TCP                       17d   app.kubernetes.io/name=prometheus
monitoring    prometheus-stack-grafana                             ClusterIP      10.43.109.158   <none>                       80/TCP                         17d   app.kubernetes.io/instance=prometheus-stack,app.kubernetes.io/name=grafana
argocd        argocd-applicationset-controller                     ClusterIP      10.43.34.34     <none>                       7000/TCP,8080/TCP              12d   app.kubernetes.io/name=argocd-applicationset-controller
argocd        argocd-dex-server                                    ClusterIP      10.43.116.217   <none>                       5556/TCP,5557/TCP,5558/TCP     12d   app.kubernetes.io/name=argocd-dex-server
argocd        argocd-metrics                                       ClusterIP      10.43.51.79     <none>                       8082/TCP                       12d   app.kubernetes.io/name=argocd-application-controller
argocd        argocd-notifications-controller-metrics              ClusterIP      10.43.1.225     <none>                       9001/TCP                       12d   app.kubernetes.io/name=argocd-notifications-controller
argocd        argocd-redis                                         ClusterIP      10.43.6.255     <none>                       6379/TCP                       12d   app.kubernetes.io/name=argocd-redis
argocd        argocd-repo-server                                   ClusterIP      10.43.63.78     <none>                       8081/TCP,8084/TCP              12d   app.kubernetes.io/name=argocd-repo-server
argocd        argocd-server                                        ClusterIP      10.43.26.176    <none>                       80/TCP,443/TCP                 12d   app.kubernetes.io/name=argocd-server
argocd        argocd-server-metrics                                ClusterIP      10.43.179.77    <none>                       8083/TCP                       12d   app.kubernetes.io/name=argocd-server
nginx-demo    my-nginx-svc                                         ClusterIP      10.43.159.204   <none>                       80/TCP                         10d   app=my-nginx
ai-platform   open-webui-service                                   ClusterIP      10.43.107.51    <none>                       8080/TCP                       14d   app=open-webui
ai-platform   ollama-headless                                      ClusterIP      None            <none>                       11434/TCP                      14d   app=ollama
ai-platform   ollama-service                                       ClusterIP      10.43.32.176    <none>                       11434/TCP                      14d   app=ollama
ai-platform   ollama-exporter                                      ClusterIP      10.43.227.91    <none>                       9101/TCP                       10d   app=ollama-exporter
monitoring    wechat-adapter-svc                                   ClusterIP      10.43.175.58    <none>                       80/TCP                         13d   app=wechat-adapter
kube-system   sealed-secrets-controller-metrics                    ClusterIP      10.43.199.155   <none>                       8081/TCP                       8d    name=sealed-secrets-controller
kube-system   sealed-secrets-controller                            ClusterIP      10.43.21.96     <none>                       8080/TCP                       8d    name=sealed-secrets-controller
logging       loki                                                 ClusterIP      10.43.27.170    <none>                       3100/TCP                       10d   app=loki
kube-system   traefik                                              LoadBalancer   10.43.205.248   100.113.74.68,100.88.70.19   80:30456/TCP,443:30468/TCP     14d   app.kubernetes.io/instance=traefik-kube-system,app.kubernetes.io/name=traefik
ai-platform   ollama-nodeport                                      NodePort       10.43.211.149   <none>                       11434:31434/TCP                89m   app=ollama
scheduler     ai-model-scheduler                                   ClusterIP      10.43.105.5     <none>                       9000/TCP,9110/TCP              85m   <none>
